id,municipios,bairros_ibge,setores,pop,domicilios,criancas_0_14,jovens_15_29,renda_media_resp,pct_fcu,pct_preta_parda,sem_fundamental_25_2010,desocupacao_2010,comunidades_fcu,unidade_mais_proxima,dist_km,loja_venda_mais_proxima,dist_venda_km,lat,lon
1,Porto Alegre,Mário Quintana | Rubem Berta | Passo das Pedras,71,38555,14126,8951,9805,1623.38,45.04,47.26,38.94,5.56,Vila Wenceslau Fontoura | Cooperativa Marcos Klassman | Vila Batista Flores | Parque Chico Mendes | Chácara da Fumaça | Vila Safira | Vila Timbaúva III | Vila Passo das Pedras II | Conquista | Vila Operária,SH Center Lar,3.91,SH Center Lar,3.91,-30.03,-51.11
2,Porto Alegre,Vila São José | Coronel Aparício Borges | Partenon | Cascata | Glória | Vila João Pessoa | Agronomia,60,34346,11944,8223,8958,1668.92,75.66,51.35,40.25,7.45,Vila Sudeste | Vila São José | Vila Vidal de Negreiros | Vila Vargas | Vila Vale dos Canudos | Vila Campo da Tuca | Chácara das Bananeiras | Colina Verde | Vila Glorinha | Batillanas | Vila Primeiro de Maio | Vila Alto Embratel | Vila Graciliano,SH Bourbon Ipiranga,2.99,SH Bourbon Ipiranga,2.99,-30.08,-51.17
3,Canoas,Guajuviras,28,21514,7183,5646,5512,1489.76,17.6,34.86,51.86,10.63,São José I | São José II | São José III | São José IV | São João,SH Park Canoas,4.12,SH Park Canoas,4.12,-29.89,-51.13
4,Porto Alegre,Santa Tereza | Cristal | Nonoai,37,20987,7367,4902,5509,1577.94,82.03,51.35,20.98,5.72,Vila Gaúcha | Vila Figueira | Vila Rio Branco | Ecológica | Vila Pantanal | Vila Tronco | Vila Orfanatrófio I | Vila Cruzeiro do Sul | Vila Orfanatrófio II | Vila Arapeí | Vila Mato Grosso | Arabutã Pedreira,SH Barrasul,1.98,SH Barrasul,1.98,-30.08,-51.23
5,Canoas,Harmonia | Mathias Velho,27,16094,5681,3352,3874,1803.25,1.77,27.12,57.97,6.25,Barca,SH Canoas,3.29,SH Canoas,3.29,-29.91,-51.22
6,Porto Alegre,Santa Rosa de Lima | Sarandi,25,15821,5871,3318,3736,1639.05,7.55,40.38,42.21,5.64,Vila Nossa Senhora Aparecida | Recanto do Chimarrão | Vila Dois Toques | Vila Quatorze de Novembro,SH Center Lar,2.6,SH Center Lar,2.6,-30,-51.1
7,Porto Alegre,Bom Jesus | Jardim Carvalho,26,14778,4872,3799,3933,1560.33,97.9,55.91,29.9,5.29,Vila Divinéia / Vila Pinto / Vila Mato Sampaio | Vila Brasília I,Loja Adm Porto Alegre,0.52,SH Iguatemi POA,2.39,-30.05,-51.16
8,Cachoeirinha,,26,13674,4974,2847,3272,1675.78,44.39,27.76,42.02,6.61,Vila Anair A | Caí | Jardins do Bosque,SH do Vale,2.06,SH do Vale,2.06,-29.92,-51.08
9,Porto Alegre,Farrapos | Humaitá,21,12940,4512,3207,3522,1562.07,52.41,44.99,42.82,7.92,Vila Mário Quintana | Pampa | Jardim Navegantes | Vila Tio Zeca/Vila Areia | Vila Operária/Vila Pirulito/Vila AJ Renner | Vila Dona Teodora | Vila Santo Antônio,Aero Salgado Filho,2.37,SH Bourbon Wallig,4.67,-29.98,-51.2
10,Sapucaia do Sul,,18,11983,4134,2899,3101,1692.58,0,28.31,57.08,6.5,,LJ Sapucaia do Sul,2.01,LJ Sapucaia do Sul,2.01,-29.82,-51.13
11,Porto Alegre,Sarandi,16,7877,2888,1618,1691,1714.74,100,32.24,51.42,6.25,Vila Minuano | Dique do Sarandi | Vila Nova Brasília | Vila União,SH Center Lar,1.63,SH Center Lar,1.63,-29.99,-51.14
12,Canoas,Fátima,7,6173,2233,1570,1605,1754.63,32.92,39.23,38.62,4.08,Loteamento Prata / Torres,CC Canoas,3.89,CC Canoas,3.89,-29.95,-51.2
13,Esteio,Parque Primavera | Jardim Planalto | Santo Inácio,9,5659,1986,1400,1507,1631.85,14.79,32.77,58.83,7.17,Vila Barreira,LJ Esteio,4.08,LJ Esteio,4.08,-29.86,-51.14
14,Gravataí,,7,4534,1584,1198,1206,1571.45,88.84,32.98,41,8.29,Tom Jobim,SH do Vale,4.15,SH do Vale,4.15,-29.9,-51.06
15,Guaíba,Santa Rita,9,4470,1593,927,1014,1763.66,34.03,31.94,45.57,6.88,Vila Aglae Kehl | Vila Bença | Vila Esperança,LJ Guaíba,2.53,LJ Guaíba,2.53,-30.09,-51.34
16,Gravataí,,7,4442,1440,1203,1240,1508.14,100,32.67,43.39,6.93,Rincão da Madalena,SH Gravataí,3.86,SH Gravataí,3.86,-29.93,-50.97
17,Porto Alegre,Sarandi,6,4165,1379,976,1068,1543.66,75.75,39,45.87,5.86,Vila Asa Branca | Vila Ipê / São Borja,SH Center Lar,1.42,SH Center Lar,1.42,-29.99,-51.12
18,Porto Alegre,Morro Santana,5,4048,1366,982,1077,1678.09,86.14,42.24,43.87,5.86,Jardim das Laranjeiras | Vila Nova Tijuca | Nova Pedreira,Loja Adm Porto Alegre,2.98,SH Iguatemi POA,3.88,-30.05,-51.13
19,Canoas,Niterói,6,3925,1374,911,952,1814.74,0,31.53,54.04,6.7,,Aero Salgado Filho,4.51,SH Park Canoas,4.87,-29.96,-51.16
20,Esteio,São José | Liberdade,7,3666,1334,774,887,1788.44,0,34.19,36.21,6.25,,LJ Esteio,2.08,LJ Esteio,2.08,-29.86,-51.16
21,Canoas,Rio Branco,5,3364,1128,741,815,1738.46,0,31.43,51.16,6.48,,Aero Salgado Filho,4.24,CC Canoas,5.37,-29.96,-51.2
22,Porto Alegre,Jardim Carvalho | Agronomia,5,3039,1028,770,769,1583.06,100,47.82,44.73,5.87,Nova Grécia | Colina do Prado | Vila Biriba | Vila Boa Vista,Loja Adm Porto Alegre,2.06,SH Bourbon Ipiranga,4.36,-30.06,-51.14
23,Cachoeirinha + Gravataí,,4,2946,994,719,740,1502.11,44.67,35.64,42.86,6.59,Canarinho,SH do Vale,4.61,SH do Vale,4.61,-29.9,-51.07
24,Porto Alegre,Partenon,7,2825,1001,600,685,1652.15,97.52,61.14,28.75,8.14,Vila Santa Clara | Vila Maria da Conceição,SH Bourbon Ipiranga,1.34,SH Bourbon Ipiranga,1.34,-30.06,-51.2
25,Porto Alegre,Costa e Silva,4,2521,860,657,677,1508.01,65.37,48.39,36.28,4.93,Vila Amazônia,SH Center Lar,1.77,SH Center Lar,1.77,-30.01,-51.11
26,Porto Alegre,Teresópolis,2,1969,657,488,516,1678.58,100,50.33,40.2,6.46,Vila Jardim Marabá,SH Bourbon Teresópolis,0.88,SH Bourbon Teresópolis,0.88,-30.08,-51.2
27,Gravataí,,5,1734,663,306,413,1714.14,15.46,28.94,45.22,8.91,Santa Cruz I,SH Gravataí,2.59,SH Gravataí,2.59,-29.93,-51
28,Guaíba,Santa Rita,2,1623,574,363,397,1726.26,100,27.81,35.11,5.4,Ipê | Mato Alto,LJ Guaíba,1.57,LJ Guaíba,1.57,-30.09,-51.31
29,Sapucaia do Sul,,2,1593,581,278,338,1874.25,0,27.95,40.82,6.29,,LJ Sapucaia do Sul,1.91,LJ Sapucaia do Sul,1.91,-29.84,-51.15
30,Esteio,Novo Esteio,4,1551,546,354,404,1629.51,67.89,42.62,38.05,6.76,Vila Pedreira,LJ Esteio,0.3,LJ Esteio,0.3,-29.85,-51.18
31,Porto Alegre,Camaquã | Cavalhada,3,1522,515,335,402,1668.85,0,45.07,33.07,5.07,,SH Barrasul,3.43,SH Barrasul,3.43,-30.11,-51.23
32,Sapucaia do Sul,,1,1504,496,421,406,1426.72,0,31.58,44.78,7.87,,LJ Sapucaia do Sul,4.25,LJ Sapucaia do Sul,4.25,-29.8,-51.19
33,Gravataí,,4,1502,532,279,337,1717.11,0,25.5,44.03,7.8,,SH Gravataí,2.21,SH Gravataí,2.21,-29.94,-51.02
34,Porto Alegre,Partenon,2,1502,573,271,366,1804.19,100,40.67,35.11,8.12,Vila São Judas Tadeu,SH Bourbon Ipiranga,1,SH Bourbon Ipiranga,1,-30.06,-51.18
35,Gravataí,,3,1466,490,421,387,1570.21,0,32.81,44.32,8.83,,SH do Vale,2.15,SH do Vale,2.15,-29.95,-51.07
36,Porto Alegre,Santa Rosa de Lima,1,1445,496,353,375,1680.73,0,43.49,52.57,6.33,,SH Center Lar,4.18,SH Center Lar,4.18,-29.98,-51.09
37,Porto Alegre,Cristal,4,1419,516,360,396,1431.46,80.2,45.6,33.07,5.07,Vila Nossa Senhora das Graças | Irmã Ermelinda,SH Barrasul,1.03,SH Barrasul,1.03,-30.09,-51.24
38,Sapucaia do Sul,,1,1279,494,243,359,1850.23,0,29.5,43.94,9.38,,LJ Sapucaia do Sul,3.21,LJ Sapucaia do Sul,3.21,-29.84,-51.12
39,Porto Alegre,Lomba do Pinheiro,1,1248,468,295,295,1562.79,0,48.07,43.87,5.86,,Loja Adm Porto Alegre,4.81,SH Bourbon Ipiranga,6.55,-30.09,-51.13
40,Cachoeirinha,,1,1139,412,347,286,1405.85,0,44.42,43.79,7.08,,SH do Vale,3.64,SH do Vale,3.64,-29.94,-51.12
41,Sapucaia do Sul,,1,1116,387,285,264,1809.48,0,28.99,38.85,4.25,,LJ Sapucaia do Sul,2.87,LJ Sapucaia do Sul,2.87,-29.8,-51.16
42,Porto Alegre,Vila Jardim,3,1098,417,190,252,1719.37,26.96,44.99,29.57,6.52,Ocupação Ernesto Pellanda,SH Iguatemi POA,1.46,SH Iguatemi POA,1.46,-30.03,-51.15
