loja,num,raio_km,setores,municipios,n_comunidades,pop,dppo,resp_renda,criancas_0_14,jovens_15_29,idosos_60,raca_preta_parda,fcu_pop,esg_adequado,dom_precario,escolas,saude,est_desocupacao,est_participacao,est_informalidade,est_emprego_formal,est_conta_propria,est_sem_previdencia,est_rdpc,est_pobreza,est_extrema_pobreza,est_gini,est_superior_25,est_sem_fundamental_25
LJ Otávio Rocha,1,1,91,Porto Alegre,0,29052,16587,6391.34,1782,7001,7557,4366,0,16565,49,27,14,4.58,65.11,36.3,59.35,21.89,21.25,2647.31,5.21,3.76,0.53,43.02,10.25
LJ Otávio Rocha,1,2,257,Porto Alegre,0,85449,47694,7101.59,6127,18581,23457,11443,0,47604,62,74,30,4.59,64.08,37.04,58.5,22.35,21.21,3139.98,5.88,3.81,0.55,44.76,10.62
LJ Otávio Rocha,1,3,411,Porto Alegre,0,147305,78407,7864.76,12173,29469,42438,18208,0,77956,77,129,46,4.65,63.63,37.77,57.23,23.29,21.52,3205.83,6.49,3.82,0.56,45.26,12.01
LJ Otávio Rocha,1,5,820,Porto Alegre,9,333632,164593,8351.38,34449,60729,95349,42215,9629,163237,108,283,74,4.86,63.43,37.63,56.39,23.68,21.63,3057.83,6.93,3.81,0.55,44.81,13.66
SH Praia de Belas,2,1,55,Porto Alegre,0,20360,10674,8108.1,1799,3491,6354,2686,0,10646,5,16,0,5.31,63.25,36.43,60.66,19.35,22.07,2182.59,8.98,4.31,0.55,37.98,15.35
SH Praia de Belas,2,2,241,Porto Alegre,1,86536,46467,7062.51,7211,16753,24487,12658,100,46356,42,73,14,5.19,63.46,36.47,60.12,20.12,22.23,2241.68,8.43,4.34,0.55,38.45,15.01
SH Praia de Belas,2,3,449,Porto Alegre,6,170608,87311,6773.26,16374,34614,46133,28477,9371,86953,83,145,44,5.22,62.92,36.98,59.01,21.02,22.35,2560.11,8.8,4.47,0.57,39.58,15.51
SH Praia de Belas,2,5,921,Porto Alegre,25,379739,180294,7422.76,43878,71960,102819,68079,28166,178321,344,302,111,5.13,62.51,37.09,57.89,22.49,22.15,2727.73,9.02,4.55,0.56,40.52,16.46
SH João Pessoa,3,1,91,Porto Alegre,0,33707,17624,6372.91,2800,6855,9450,5423,0,17579,8,32,12,5.47,62.73,36.8,60.27,19.52,22.5,2106.3,9.97,4.52,0.56,36.53,17.12
SH João Pessoa,3,2,367,Porto Alegre,0,138728,72815,7352.37,11784,27845,39327,17981,0,72622,37,111,32,5.21,62.86,36.76,58.68,21.23,22.03,2864.77,8.37,4.48,0.57,42.13,14.38
